id,prompt,A,B,C,D,E,answer
43,What is the information loss paradox in black holes?,"Black holes have an infinite number of internal parameters, so all the information about the matter that went into forming the black hole is preserved. Regardless of the type of matter which goes into a black hole, it appears that all the information is conserved. As black holes evaporate by emitting Hawking radiation, the information is lost forever.","Black holes have an infinite number of internal parameters, so all the information about the matter that went into forming the black hole is preserved. Regardless of the type of matter which goes into a black hole, it appears that all the information is conserved. As black holes evaporate by emitting Hawking radiation, the information is lost temporarily but reappears once the black hole has fully evaporated.","Black holes have only a few internal parameters, so most of the information about the matter that went into forming the black hole is lost. Regardless of the type of matter which goes into a black hole, it appears that only information concerning the total mass, charge, and angular momentum are conserved. As black holes evaporate by emitting Hawking radiation, the information is lost forever.","Black holes have only a few internal parameters, so most of the information about the matter that went into forming the black hole is lost. Regardless of the type of matter which goes into a black hole, it appears that only information concerning the total mass, charge, and angular momentum are conserved. As black holes evaporate by emitting Hawking radiation, the information is preserved and reappears once the black hole has fully evaporated.","Black holes have only a few internal parameters, so most of the information about the matter that went into forming the black hole is preserved. Regardless of the type of matter which goes into a black hole, it appears that all the information is conserved. As black holes evaporate by emitting Hawking radiation, the information is preserved and reappears once the black hole has fully evaporated.",C
44,What is the Kutta condition?,"The Kutta condition is a physical requirement that the fluid moving along the lower and upper surfaces of an airfoil meet smoothly, with no fluid moving around the trailing edge of the airfoil.","The Kutta condition is a physical requirement that the fluid moving along the lower and upper surfaces of an airfoil meet smoothly, with no fluid moving around the leading edge of the airfoil.",The Kutta condition is a mathematical requirement that the loop used in applying the Kutta-Joukowski theorem must be chosen outside the boundary layer of the airfoil.,The Kutta condition is a mathematical requirement that the flow can be assumed inviscid in the entire region outside the airfoil provided the Reynolds number is large and the angle of attack is small.,The Kutta condition is a physical requirement that the circulation calculated using the loop corresponding to the surface of the airfoil must be zero for a viscous fluid.,A
45,What is classical mechanics?,"Classical mechanics is the branch of physics that describes the motion of macroscopic objects using concepts such as mass, acceleration, and force. It is based on a three-dimensional Euclidean space with fixed axes, and utilises many equations and mathematical concepts to relate physical quantities to one another.","Classical mechanics is the branch of physics that describes the motion of microscopic objects using concepts such as energy, momentum, and wave-particle duality. It is based on a four-dimensional space-time continuum and utilises many equations and mathematical concepts to relate physical quantities to one another.",Classical mechanics is the branch of physics that studies the behaviour of subatomic particles such as electrons and protons. It is based on the principles of quantum mechanics and utilises many equations and mathematical concepts to describe the properties of these particles.,Classical mechanics is the branch of physics that studies the behaviour of light and electromagnetic radiation. It is based on the principles of wave-particle duality and utilises many equations and mathematical concepts to describe the properties of light.,Classical mechanics is the branch of physics that studies the behaviour of fluids and gases. It is based on the principles of thermodynamics and utilises many equations and mathematical concepts to describe the properties of these substances.,A
46,Who shared the other half of the Nobel Prize with Yoichiro Nambu for discovering the origin of the explicit breaking of CP symmetry in the weak interactions?,Richard Feynman and Julian Schwinger,Makoto Kobayashi and Toshihide Maskawa,Steven Weinberg and Sheldon Glashow,Peter Higgs and Francois Englert,Murray Gell-Mann and George Zweig,B
47,What are some models that attempt to account for all observations without invoking supplemental non-baryonic matter?,"The Doppler effect, the photoelectric effect, or the Compton effect.","The Higgs boson, the W boson, or the Z boson.","Modified Newtonian dynamics, tensor–vector–scalar gravity, or entropic gravity.","The strong nuclear force, the weak nuclear force, or the electromagnetic force.","Kepler's laws, Newton's laws, or Einstein's theory of general relativity.",C
48,What is the purpose of the proximity-focusing design in a RICH detector?,"To emit a cone of Askaryan radiation that traverses a small distance and is detected on the photon detector plane, creating a ring of light whose radius is defined by the Cherenkov emission angle and the proximity gap.","To emit a cone of Bremsstrahlung radiation that traverses a large distance and is detected on the photon detector plane, creating a ring of light whose radius is defined by the Cherenkov emission angle and the proximity gap.","To emit a cone of Cherenkov light that traverses a large distance and is detected on the photon detector plane, creating a ring of light whose radius is defined by the Cherenkov emission angle and the proximity gap.","To emit a cone of Cherenkov light that traverses a small distance and is detected on the photon detector plane, creating a ring of light whose radius is defined by the Cherenkov emission angle and the proximity gap.","To emit a cone of Bremsstrahlung radiation that traverses a small distance and is detected on the photon detector plane, creating a ring of light whose radius is defined by the Cherenkov emission angle and the proximity gap.",D
49,What is a light-year?,A unit of time used to express astronomical distances that is equivalent to the time that an object moving at the speed of light in vacuum would take to travel in one Julian year: approximately 9.46 trillion seconds (9.46×1012 s) or 5.88 trillion minutes (5.88×1012 min).,A unit of length used to express astronomical distances that is equivalent to the distance that an object moving at the speed of light in vacuum would travel in one Julian year: approximately 9.46 trillion kilometres (9.46×1012 km) or 5.88 trillion miles (5.88×1012 mi).,A unit of temperature used to express astronomical distances that is equivalent to the temperature of an object moving at the speed of light in vacuum in one Julian year: approximately 9.46 trillion Kelvin (9.46×1012 K) or 5.88 trillion Celsius (5.88×1012 °.,A unit of energy used to express astronomical distances that is equivalent to the energy of an object moving at the speed of light in vacuum in one Julian year: approximately 9.46 trillion joules (9.46×1012 J) or 5.88 trillion watt-hours (5.88×1012 Wh).,A unit of mass used to express astronomical distances that is equivalent to the mass of an object moving at the speed of light in vacuum in one Julian year: approximately 9.46 trillion kilograms (9.46×1012 kg) or 5.88 trillion pounds (5.88×1012 lb).,B
50,What is the main advantage of ferroelectric memristors?,"Ferroelectric memristors have a higher resistance than other types of memristors, making them more suitable for high-power applications.","Ferroelectric domain dynamics can be tuned, allowing for the engineering of memristor response, and resistance variations are due to purely electronic phenomena, making the device more reliable.","Ferroelectric memristors have a more complex structure than other types of memristors, allowing for a wider range of applications.",Ferroelectric memristors have a unique piezoelectric field that allows for the creation of non-uniform elastic strain and a more stable structure.,"Ferroelectric memristors are based on vertically aligned carbon nanotubes, which offer a more efficient and faster switching mechanism than other materials.",B
51,What is the term used to describe the conduction that occurs in non-crystalline semiconductors by charges quantum tunnelling from one localised site to another?,Intrinsic semiconductors,Electrical impedance tomography,Quantum conduction,Carrier mobility,Variable range hopping,E
52,What is resistivity?,Resistivity is an extrinsic property of a material that describes how difficult it is to make electrical current flow through it. It is measured in ohms and is dependent on the material's shape and size.,Resistivity is a measure of the resistance of a material to electrical current flow. It is measured in ohm-meters and is dependent on the material's shape and size.,Resistivity is an intrinsic property of a material that describes how difficult it is to make electrical current flow through it. It is measured in ohm-meters and is independent of the material's shape and size.,Resistivity is a measure of the electrical current that can flow through a material. It is measured in ohms and is dependent on the material's shape and size.,Resistivity is a measure of the electrical current that can flow through a material. It is measured in ohm-meters and is independent of the material's shape and size.,C
53,What did Newton adopt after his correspondence with Hooke in 1679-1680?,The language of inward or centripetal force.,The language of gravitational force.,The language of outward or centrifugal force.,The language of tangential and radial displacements.,The language of electromagnetic force.,A
54,What is the metallicity of Kapteyn's star estimated to be?,8 times more than the Sun,8 times less than the Sun,13 light years away from Earth,Unknown,Equal to the Sun,B
55,What is the SI base unit of time and how is it defined?,"The SI base unit of time is the week, which is defined by measuring the electronic transition frequency of caesium atoms.","The SI base unit of time is the second, which is defined by measuring the electronic transition frequency of caesium atoms.","The SI base unit of time is the hour, which is defined by measuring the electronic transition frequency of caesium atoms.","The SI base unit of time is the day, which is defined by measuring the electronic transition frequency of caesium atoms.","The SI base unit of time is the minute, which is defined by measuring the electronic transition frequency of caesium atoms.",B
56,What is a planetary system?,A system of planets that are all located in the same solar system.,A system of planets that are all the same size and shape.,Any set of gravitationally bound non-stellar objects in or out of orbit around a star or star system.,A system of planets that are all located in the same galaxy.,A system of planets that are all made of gas.,C
57,What is the result of the collapse of a cavitation bubble?,"The collapse of a cavitation bubble causes the surrounding liquid to expand, resulting in the formation of a low-pressure vapor bubble.","The collapse of a cavitation bubble causes a decrease in pressure and temperature of the vapor within, releasing a small amount of energy in the form of an acoustic shock wave and visible light.","The collapse of a cavitation bubble causes a sharp increase in pressure and temperature of the vapor within, releasing a significant amount of energy in the form of an acoustic shock wave and visible light.","The collapse of a cavitation bubble causes the surrounding liquid to implode, resulting in the formation of a vacuum.",The collapse of a cavitation bubble has no effect on the surrounding liquid or vapor.,C
58,Who was Giordano Bruno?,A German philosopher who supported the Keplerian theory that planets move in elliptical orbits around the Sun and believed that fixed stars are similar to the Sun but have different designs and are not subject to the dominion of One.,An English philosopher who supported the Ptolemaic theory that Earth is the center of the universe and believed that fixed stars are not similar to the Sun and do not have planets orbiting them.,A French philosopher who supported the Aristotelian theory that Earth is at the center of the universe and believed that fixed stars are similar to the Sun but do not have planets orbiting them.,An Italian philosopher who supported the Copernican theory that Earth and other planets orbit the Sun and believed that fixed stars are similar to the Sun and have planets orbiting them.,A Spanish philosopher who supported the Galilean theory that Earth and other planets orbit the Sun and believed that fixed stars are not similar to the Sun and do not have planets orbiting them.,D
59,What are the Navier-Stokes equations?,"The Navier-Stokes equations are partial differential equations that describe the motion of viscous fluid substances, expressing momentum balance and conservation of mass for Newtonian fluids.","The Navier-Stokes equations are partial differential equations that describe the motion of viscous fluid substances, expressing momentum balance and conservation of mass for non-Newtonian fluids.","The Navier-Stokes equations are partial differential equations that describe the motion of non-viscous fluid substances, expressing momentum balance and conservation of mass for Newtonian fluids.","The Navier-Stokes equations are algebraic equations that describe the motion of non-viscous fluid substances, expressing momentum balance and conservation of mass for Newtonian fluids.","The Navier-Stokes equations are algebraic equations that describe the motion of viscous fluid substances, expressing momentum balance and conservation of mass for Newtonian fluids.",A
60,What is the revised view of the atmosphere's nature based on the time-varying multistability that is associated with the modulation of large-scale processes and aggregated feedback of small-scale processes?,The atmosphere is a system that is only influenced by large-scale processes and does not exhibit any small-scale feedback.,"The atmosphere possesses both chaos and order, including emerging organized systems and time-varying forcing from recurrent seasons.",The atmosphere is a system that is only influenced by small-scale processes and does not exhibit any large-scale modulation.,The atmosphere is a completely chaotic system with no order or organization.,The atmosphere is a completely ordered system with no chaos or randomness.,B
61,What is the reason that it is nearly impossible to see light emitted at the Lyman-alpha transition wavelength from a star farther than a few hundred light years from Earth?,"Far ultraviolet light is absorbed effectively by the charged components of the ISM, including atomic helium, which has a typical absorption wavelength of about 121.5 nanometers, the Lyman-alpha transition.","Far ultraviolet light is absorbed effectively by the neutral components of the ISM, including atomic hydrogen, which has a typical absorption wavelength of about 121.5 nanometers, the Lyman-alpha transition.","Far ultraviolet light is absorbed effectively by the charged components of the ISM, including atomic hydrogen, which has a typical absorption wavelength of about 121.5 nanometers, the Lyman-alpha transition.","Far ultraviolet light is absorbed effectively by the neutral components of the ISM, including atomic helium, which has a typical absorption wavelength of about 121.5 nanometers, the Lyman-alpha transition.","Far ultraviolet light is absorbed effectively by the neutral components of the ISM, including atomic hydrogen, which has a typical absorption wavelength of about 212.5 nanometers, the Lyman-alpha transition.",B
62,What is a Schwarzschild black hole?,"A black hole that has mass but neither electric charge nor angular momentum, and is not spherically symmetric, according to Birkhoff's theorem.","A black hole that has mass, electric charge, and angular momentum, and is spherically symmetric, according to Birkhoff's theorem.","A black hole that has mass but neither electric charge nor angular momentum, and is spherically symmetric, according to Birkhoff's theorem.","A black hole that has neither mass nor electric charge nor angular momentum, and is not spherically symmetric, according to Birkhoff's theorem.","A black hole that has mass, electric charge, and angular momentum, and is not spherically symmetric, according to Birkhoff's theorem.",C
63,What is the definition of Atomristor?,Atomristor is a flexible memristive device comprising a MoOx/MoS2 heterostructure sandwiched between silver electrodes on a plastic foil.,Atomristor is a prominent memcapacitive effect observed in switches with memristive behavior.,Atomristor is defined as the electrical devices showing memristive behavior in atomically thin nanomaterials or atomic sheets.,Atomristor is a printing and solution-processing technology used to fabricate memristive devices.,Atomristor is a type of two-dimensional layered transition metal dichalcogenides (TMDs) used in the fabrication of memristive devices.,C
64,Who published the first theory that was able to encompass previously separate field theories to provide a unifying theory of electromagnetism?,Maxwell,Einstein,Galileo,Faraday,Newton,A
65,What is the relevant type of coherence for the Young's double-slit interferometer?,Visibility,Coherence time,Spatial coherence,Coherence length,Diameter of the coherence area (Ac),E
66,What is the Peierls bracket in canonical quantization?,The Peierls bracket is a mathematical symbol used to represent the Poisson algebra in the canonical quantization method.,The Peierls bracket is a mathematical tool used to generate the Hamiltonian in the canonical quantization method.,The Peierls bracket is a Poisson bracket derived from the action in the canonical quantization method that converts the quotient algebra into a Poisson algebra.,The Peierls bracket is a mathematical symbol used to represent the quotient algebra in the canonical quantization method.,The Peierls bracket is a mathematical tool used to generate the Euler-Lagrange equations in the canonical quantization method.,C
67,What is the isophotal diameter used for in measuring a galaxy's size?,The isophotal diameter is a way of measuring a galaxy's distance from Earth.,The isophotal diameter is a measure of a galaxy's age.,The isophotal diameter is a measure of a galaxy's mass.,The isophotal diameter is a measure of a galaxy's temperature.,The isophotal diameter is a conventional way of measuring a galaxy's size based on its apparent surface brightness.,E
68,What is the Maxwell's Demon thought experiment?,"A thought experiment in which a demon guards a microscopic trapdoor in a wall separating two parts of a container filled with different gases at equal temperatures. The demon selectively allows molecules to pass from one side to the other, causing an increase in temperature in one part and a decrease in temperature in the other, contrary to the second law of thermodynamics.","A thought experiment in which a demon guards a macroscopic trapdoor in a wall separating two parts of a container filled with different gases at different temperatures. The demon selectively allows molecules to pass from one side to the other, causing a decrease in temperature in one part and an increase in temperature in the other, in accordance with the second law of thermodynamics.","A thought experiment in which a demon guards a microscopic trapdoor in a wall separating two parts of a container filled with the same gas at equal temperatures. The demon selectively allows faster-than-average molecules to pass from one side to the other, causing a decrease in temperature in one part and an increase in temperature in the other, contrary to the second law of thermodynamics.","A thought experiment in which a demon guards a macroscopic trapdoor in a wall separating two parts of a container filled with the same gas at equal temperatures. The demon selectively allows faster-than-average molecules to pass from one side to the other, causing an increase in temperature in one part and a decrease in temperature in the other, contrary to the second law of thermodynamics.","A thought experiment in which a demon guards a microscopic trapdoor in a wall separating two parts of a container filled with the same gas at different temperatures. The demon selectively allows slower-than-average molecules to pass from one side to the other, causing a decrease in temperature in one part and an increase in temperature in the other, in accordance with the second law of thermodynamics.",C
69,What is the application of Memristor?,"Memristor has applications in the production of electric cars, airplanes, and ships.","Memristor has applications in the production of food, clothing, and shelter.","Memristor has applications in the production of solar panels, wind turbines, and hydroelectric power plants.","Memristor has applications in programmable logic signal processing, Super-resolution imaging, physical neural networks, control systems, reconfigurable computing, in-memory computing, brain–computer interfaces and RFID.","Memristor has applications in optical fiber communication, satellite communication, and wireless communication.",D
70,What is the effect generated by a spinning superconductor?,"An electric field, precisely aligned with the spin axis.","A magnetic field, randomly aligned with the spin axis.","A magnetic field, precisely aligned with the spin axis.","A gravitational field, randomly aligned with the spin axis.","A gravitational field, precisely aligned with the spin axis.",C
71,What is the main focus of cryogenic and noble liquid detectors in dark matter experiments?,Distinguishing background particles from dark matter particles by detecting the heat produced when a particle hits an atom in a crystal absorber or the scintillation produced by a particle collision in liquid xenon or argon.,Detecting the heat produced when a particle hits an atom in a crystal absorber or the scintillation produced by a particle collision in liquid xenon or argon to determine the mass and interaction cross section with electrons of dark matter particles.,Detecting the heat produced when a particle hits an atom in a crystal absorber or the scintillation produced by a particle collision in liquid xenon or argon to distinguish between different types of background particles.,Detecting the heat produced when a particle hits an atom in a crystal absorber or the scintillation produced by a particle collision in liquid xenon or argon to determine the mass and interaction cross section with nucleons of dark matter particles.,Detecting the mass and interaction cross section with nucleons of dark matter particles by detecting the heat produced when a particle hits an atom in a crystal absorber or the scintillation produced by a particle collision in liquid xenon or argon.,A
72,What is a pycnometer?,A device used to measure the density of a gas.,A device used to measure the mass of a liquid.,A device used to measure the volume of a gas.,A device used to determine the density of a liquid.,A device used to determine the volume of a liquid.,D
73,"What is the estimated redshift of CEERS-93316, a candidate high-redshift galaxy observed by the James Webb Space Telescope?","Approximately z = 6.0, corresponding to 1 billion years after the Big Bang.","Approximately z = 16.7, corresponding to 235.8 million years after the Big Bang.","Approximately z = 3.0, corresponding to 5 billion years after the Big Bang.","Approximately z = 10.0, corresponding to 13 billion years after the Big Bang.","Approximately z = 13.0, corresponding to 30 billion light-years away from Earth.",B
74,What is bollard pull primarily used for measuring?,The weight of heavy machinery,The speed of locomotives,The distance traveled by a truck,The strength of tugboats,The height of a ballast tractor,D
75,What is the piezoelectric strain coefficient for AT-cut quartz crystals?,d = 1.9·10‑12 m/V,d = 3.1·10‑12 m/V,d = 4.2·10‑12 m/V,d = 2.5·10‑12 m/V,d = 5.8·10‑12 m/V,B
76,What is the difference between probability mass function (PMF) and probability density function (PDF)?,"PMF is used only for continuous random variables, while PDF is used for both continuous and discrete random variables.","PMF is used for both continuous and discrete random variables, while PDF is used only for continuous random variables.","PMF is used for continuous random variables, while PDF is used for discrete random variables.","PMF is used for discrete random variables, while PDF is used for continuous random variables.",PMF and PDF are interchangeable terms used for the same concept in probability theory.,D
77,"How do the Lunar Laser Ranging Experiment, radar astronomy, and the Deep Space Network determine distances to the Moon, planets, and spacecraft?",They determine the values of electromagnetic constants.,They measure round-trip transit times.,They measure the actual speed of light waves.,They use interferometry to determine the speed of light.,They separately determine the frequency and wavelength of a light beam.,B
78,What is the Ozma Problem?,The Ozma Problem is a chapter in a book that discusses the versatility of carbon and chirality in biochemistry.,"The Ozma Problem is a discussion about time invariance and reversal in particle physics, theoretical physics, and cosmology.","The Ozma Problem is a conundrum that examines whether there is any fundamental asymmetry to the universe. It concerns various aspects of atomic and subatomic physics and how they relate to mirror asymmetry and the related concepts of chirality, antimatter, magnetic and electrical polarity, parity, charge and spin.",The Ozma Problem is a measure of how symmetry and asymmetry have evolved from the beginning of life on Earth.,The Ozma Problem is a comparison between the level of a desired signal and the level of background noise used in science and engineering.,C
79,What is a Hilbert space in quantum mechanics?,A complex vector space where the state of a classical mechanical system is described by a vector |Ψ⟩.,A physical space where the state of a classical mechanical system is described by a vector |Ψ⟩.,A physical space where the state of a quantum mechanical system is described by a vector |Ψ⟩.,A mathematical space where the state of a classical mechanical system is described by a vector |Ψ⟩.,A complex vector space where the state of a quantum mechanical system is described by a vector |Ψ⟩.,E
80,What is the significance of the speed of light in vacuum?,The speed of light in vacuum is only relevant when measuring the one-way speed of light.,The speed of light in vacuum is only relevant when measuring the two-way speed of light.,The speed of light in vacuum is independent of the motion of the wave source and the observer's inertial frame of reference.,The speed of light in vacuum is dependent on the motion of the wave source and the observer's inertial frame of reference.,The speed of light in vacuum is only relevant when c appears explicitly in the units of measurement.,C
81,What is the term used to describe the proportionality factor to the Stefan-Boltzmann law that is utilized in subsequent evaluations of the radiative behavior of grey bodies?,Emissivity,Wien's displacement law,Reflectance,Black-body radiation,Albedo,A
82,What is the reason for the formation of stars exclusively within molecular clouds?,The formation of stars occurs exclusively outside of molecular clouds.,"The low temperatures and high densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.","The low temperatures and low densities of molecular clouds cause the gravitational force to be less than the internal pressures that are acting ""outward"" to prevent a collapse.","The high temperatures and low densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.","The high temperatures and high densities of molecular clouds cause the gravitational force to be less than the internal pressures that are acting ""outward"" to prevent a collapse.",B
83,What is the identity operation in symmetry groups?,The identity operation leaves the molecule unchanged and forms the identity element in the symmetry group.,The identity operation rotates the molecule about its center of mass.,The identity operation inverts the molecule about its center of inversion.,The identity operation reflects the molecule across a plane of symmetry.,The identity operation translates the molecule in 3-D space.,A
84,What is a regular polytope?,A regular polytope is a geometric shape whose symmetry group is transitive on its diagonals.,A regular polytope is a geometric shape whose symmetry group is transitive on its vertices.,A regular polytope is a geometric shape whose symmetry group is transitive on its flags.,A regular polytope is a geometric shape whose symmetry group is transitive on its edges.,A regular polytope is a geometric shape whose symmetry group is transitive on its faces.,C
85,What is the reason behind the largest externally observed electrical effects when two conductors are separated by the smallest distance without touching?,"The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the temperature between the surfaces.","The surface charge on a conductor depends on the magnitude of the magnetic field, which in turn depends on the distance between the surfaces.","The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the angle between the surfaces.","The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the distance between the surfaces.","The surface charge on a conductor depends on the magnitude of the electric field, which in turn depends on the pressure between the surfaces.",D
86,What is the formalism that angular momentum is associated with in rotational invariance?,Angular momentum is the 1-form Noether charge associated with rotational invariance.,Angular momentum is the 3-form Noether charge associated with rotational invariance.,Angular momentum is the 5-form Noether charge associated with rotational invariance.,Angular momentum is the 2-form Noether charge associated with rotational invariance.,Angular momentum is the 4-form Noether charge associated with rotational invariance.,D
87,"Which hand should be used to apply the right-hand rule when tightening or loosening nuts, screws, bolts, bottle caps, and jar lids?",One's dominant hand,The right hand,Both hands,The left hand,Either hand,B
88,What is the Minkowski diagram used for?,The Minkowski diagram is used to define concepts and demonstrate properties of Newtonian mechanics and to provide geometrical interpretation to the generalization of Lorentz transformations to relativistic mechanics.,The Minkowski diagram is used to define concepts and demonstrate properties of general relativity and to provide geometrical interpretation to the generalization of special relativity to relativistic mechanics.,The Minkowski diagram is used to define concepts and demonstrate properties of Lorentz transformations and to provide geometrical interpretation to the generalization of quantum mechanics to relativistic mechanics.,The Minkowski diagram is used to define concepts and demonstrate properties of special relativity and to provide geometrical interpretation to the generalization of general relativity to relativistic mechanics.,The Minkowski diagram is used to define concepts and demonstrate properties of Lorentz transformations and to provide geometrical interpretation to the generalization of Newtonian mechanics to relativistic mechanics.,E
89,What are the two main interpretations for the disparity between the presence of matter and antimatter in the observable universe?,"The universe began with a small preference for matter, or it was originally perfectly asymmetric, but a set of phenomena contributed to a small imbalance in favor of antimatter over time.","The universe began with a small preference for antimatter, or it was originally perfectly symmetric, but a set of phenomena contributed to a small imbalance in favor of antimatter over time.","The universe began with equal amounts of matter and antimatter, or it was originally perfectly symmetric, but a set of phenomena contributed to a small imbalance in favor of antimatter over time.","The universe began with a small preference for matter, or it was originally perfectly symmetric, but a set of phenomena contributed to a small imbalance in favor of matter over time.","The universe began with equal amounts of matter and antimatter, or it was originally perfectly asymmetric, but a set of phenomena contributed to a small imbalance in favor of matter over time.",D
90,What is the Ramsauer-Townsend effect?,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of low-energy electrons by atoms of a non-noble gas. It can be explained by classical mechanics.,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of low-energy electrons by atoms of a noble gas. It requires the wave theory of quantum mechanics to be explained.,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of high-energy electrons by atoms of a noble gas. It can be explained by classical mechanics.,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of high-energy electrons by atoms of a non-noble gas. It requires the wave theory of quantum mechanics to be explained.,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of electrons by atoms of any gas. It can be explained by classical mechanics.,B
91,What is Minkowski space?,Minkowski space is a physical space where objects move in a straight line unless acted upon by a force.,Minkowski space is a mathematical model that combines inertial space and time manifolds with a non-inertial reference frame of space and time into a four-dimensional model relating a position to the field.,Minkowski space is a mathematical model that combines space and time into a two-dimensional model relating a position to the field.,Minkowski space is a mathematical model that combines space and time into a three-dimensional model relating a position to the field.,Minkowski space is a physical space where objects move in a curved line unless acted upon by a force.,B
92,What is the Optical Signal-to-Noise Ratio (OSNR)?,"The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the modulation frequency and the carrier frequency of an optical signal, used to describe the signal quality in systems where dynamic range is less than 6.02m.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality without taking the receiver into account.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is less than 6.02m.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a fixed bandwidth of 6.02m, used to describe the signal quality in systems where dynamic range is less than 6.02m.","The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is large or unpredictable.",B
93,What is the interpretation of supersymmetry in stochastic supersymmetric theory?,Supersymmetry is a type of hydromagnetic dynamo that arises when the magnetic field becomes strong enough to affect the fluid motions.,Supersymmetry is a measure of the amplitude of the dynamo in the induction equation of the kinematic approximation.,Supersymmetry is a measure of the strength of the magnetic field in the induction equation of the kinematic dynamo.,Supersymmetry is a property of deterministic chaos that arises from the continuity of the flow in the model's phase space.,"Supersymmetry is an intrinsic property of all stochastic differential equations, and it preserves continuity in the model's phase space via continuous time flows.",E
94,"What is the purpose of expressing a map's scale as a ratio, such as 1:10,000?","To indicate the use of south-up orientation, as used in Ancient Africa and some maps in Brazil today.","To indicate the orientation of the map, such as whether the 0° meridian is at the top or bottom of the page.","To indicate the projection used to create the map, such as Buckminster Fuller's Dymaxion projection.","To indicate the arrangement of the map, such as the world map of Gott, Vanderbei, and Goldberg arranged as a pair of disks back-to-back.",To indicate the relationship between the size of the map and the size of the area being represented.,E
95,What is the main sequence in astronomy?,The main sequence is a type of galaxy that contains a large number of stars.,The main sequence is a type of black hole that is formed from the collapse of a massive star.,The main sequence is a continuous and distinctive band of stars that appears on plots of stellar color versus brightness. Stars on this band are known as main-sequence stars or dwarf stars.,The main sequence is a group of planets that orbit around a star in a solar system.,The main sequence is a type of nebula that is formed from the explosion of a supernova.,C
96,"Who proposed the concept of ""maximal acceleration""?",Max Planck,Niels Bohr,Eduardo R. Caianiello,Hideki Yukawa,Albert Einstein,C
97,What is indirect photophoresis?,"Indirect photophoresis is a phenomenon that occurs when particles absorb incident light uniformly, creating a temperature gradient within the particle, and causing a migration of particles in a random direction.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light only on the irradiated side, creating a temperature gradient within the particle, and causing a migration of particles in the same direction as the surface temperature gradient.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light uniformly, creating a temperature gradient within the particle, and causing a migration of particles in the same direction as the surface temperature gradient.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light only on the irradiated side, creating a temperature gradient within the particle, and causing a migration of particles in a direction opposite to the surface temperature gradient.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light uniformly, creating a temperature gradient within the particle, and causing a migration of particles in a direction opposite to the surface temperature gradient.",D
98,What does Earnshaw's theorem state?,A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the gravitational interaction of the charges.,A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the electrostatic interaction of the charges.,"A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the magnetic interaction of the charges, if the magnets are hard.",A collection of point charges cannot be maintained in a stable stationary equilibrium configuration solely by the electrostatic interaction of the charges.,A collection of point charges can be maintained in a stable stationary equilibrium configuration solely by the magnetic interaction of the charges.,D
99,What is radiosity in radiometry?,"Radiosity is the radiant flux entering a surface per unit area, including emitted, reflected, and transmitted radiation.","Radiosity is the radiant flux entering a surface per unit area, including absorbed, reflected, and transmitted radiation.","Radiosity is the radiant flux leaving a surface per unit area, including absorbed, reflected, and transmitted radiation.","Radiosity is the radiant flux leaving a surface per unit area, including emitted, reflected, and transmitted radiation.","Radiosity is the radiant flux leaving a surface per unit volume, including emitted, reflected, and transmitted radiation.",D
100,What is a virtual particle?,A particle that is not affected by the strong force.,A particle that is not affected by the weak force.,A particle that is created in a laboratory for experimental purposes.,A particle that is not directly observable but is inferred from its effects on measurable particles.,A particle that is directly observable and can be measured in experiments.,D
101,"Who proposed the principle of ""complexity from noise"" and when was it first introduced?",Ilya Prigogine in 1979,Henri Atlan in 1972,Democritus and Lucretius in ancient times,None of the above.,René Descartes in 1637,B
102,What is the order parameter that breaks the electromagnetic gauge symmetry in superconductors?,None of the above.,A thin cylindrical plastic rod.,A condensed-matter collective field ψ.,The cosmic microwave background.,A component of the Higgs field.,C
